Name,Roll No,Course,Year,Section,Allocated Block / Classroom
Raj Iyer,AU101,LL.M,1st Year,B,Alliance School of Applied Engineering - B
Priya Joshi,AU102,BBA,4th Year,A,Learning Centre 2 - A
Kavya Gupta,AU103,BBA,2nd Year,C,Alliance School of Applied Engineering - C
Vikram Nair,AU104,B.Tech,1st Year,C,Kalataranga - C
Varun Naidu,AU105,BA LL.B,4th Year,A,Kalataranga - A
Ishita Mishra,AU106,M.Tech,4th Year,A,Learning Centre 1 - A
Arjun Kumar,AU107,LL.M,4th Year,C,Kalataranga - C
Amit Pandey,AU108,BFA (Fine Arts),1st Year,A,Kalataranga - A
Sanya Menon,AU109,M.Tech,3rd Year,B,Alliance School of Applied Engineering - B
Arjun Nair,AU110,BFA (Fine Arts),1st Year,C,Learning Centre 1 - C
Sanya Pandey,AU111,MBA,1st Year,A,Learning Centre 2 - A
Harsh Singh,AU112,LL.M,3rd Year,A,Learning Centre 2 - A
Raj Nair,AU113,LL.M,3rd Year,B,Alliance School of Law - B
Meera Nair,AU114,MBA,1st Year,C,Alliance School of Applied Engineering - C
Rohan Reddy,AU115,BFA (Fine Arts),2nd Year,B,Alliance School of Applied Engineering - B
Meera Pandey,AU116,BA (Liberal Arts),2nd Year,C,Learning Centre 2 - C
Vikram Pillai,AU117,BBA LL.B,3rd Year,A,Learning Centre 2 - A
Nisha Nair,AU118,LL.M,1st Year,B,Learning Centre 1 - B
Nisha Mehta,AU119,LL.M,2nd Year,B,Kalataranga - B
Neha Mehta,AU120,M.Tech,4th Year,C,Alliance School of Applied Engineering - C
Diya Pandey,AU121,BFA (Fine Arts),2nd Year,B,Kalataranga - B
Amit Naidu,AU122,BA LL.B,1st Year,B,Kalataranga - B
Varun Kumar,AU123,BFA (Fine Arts),1st Year,B,Alliance School of Law - B
Aarav Joshi,AU124,BFA (Fine Arts),1st Year,B,Learning Centre 1 - B
Harsh Nair,AU125,B.Tech,1st Year,B,Learning Centre 2 - B
Sanya Verma,AU126,BFA (Fine Arts),4th Year,C,Alliance School of Applied Engineering - C
Nisha Sharma,AU127,BA (Liberal Arts),2nd Year,B,Learning Centre 1 - B
Kunal Gupta,AU128,BA LL.B,2nd Year,C,Learning Centre 1 - C
Diya Rana,AU129,LL.M,3rd Year,C,Learning Centre 1 - C
Priya Pandey,AU130,MBA,3rd Year,C,Learning Centre 2 - C
Aarav Pandey,AU131,BBA LL.B,1st Year,B,Alliance School of Applied Engineering - B
Rohan Mishra,AU132,BBA LL.B,4th Year,C,Alliance School of Law - C
Vikram Reddy,AU133,BFA (Fine Arts),1st Year,C,Alliance School of Law - C
Sanya Menon,AU134,LL.M,4th Year,C,Kalataranga - C
Priya Gupta,AU135,BBA LL.B,3rd Year,A,Alliance School of Law - A
Diya Chowdhury,AU136,MBA,2nd Year,C,Alliance School of Law - C
Raj Bose,AU137,BA LL.B,4th Year,B,Alliance School of Law - B
Rohan Pillai,AU138,BFA (Fine Arts),1st Year,C,Alliance School of Law - C
Aditya Nair,AU139,BA LL.B,2nd Year,C,Alliance School of Law - C
Rohan Rana,AU140,M.Tech,2nd Year,C,Learning Centre 2 - C
Neha Iyer,AU141,BBA,1st Year,B,Kalataranga - B
Aditya Gupta,AU142,B.Tech,2nd Year,B,Learning Centre 1 - B
Nisha Rana,AU143,BBA,2nd Year,A,Kalataranga - A
Rohan Gupta,AU144,BBA,3rd Year,B,Alliance School of Law - B
Tanya Pandey,AU145,BFA (Fine Arts),1st Year,C,Alliance School of Law - C
Kunal Menon,AU146,MBA,4th Year,B,Learning Centre 2 - B
Aarav Mehta,AU147,BBA,1st Year,B,Kalataranga - B
Varun Mehta,AU148,BA LL.B,2nd Year,B,Alliance School of Law - B
Raj Kumar,AU149,M.Tech,4th Year,B,Learning Centre 1 - B
Sanya Pandey,AU150,BBA LL.B,4th Year,B,Alliance School of Law - B
Varun Kumar,AU151,BBA,3rd Year,C,Alliance School of Law - C
Kunal Kumar,AU152,BA LL.B,4th Year,A,Learning Centre 2 - A
Ishita Sharma,AU153,BBA,1st Year,C,Learning Centre 2 - C
Varun Menon,AU154,BFA (Fine Arts),2nd Year,A,Learning Centre 1 - A
Amit Kumar,AU155,BFA (Fine Arts),4th Year,A,Alliance School of Applied Engineering - A
Neha Mehta,AU156,M.Tech,4th Year,B,Learning Centre 1 - B
Arjun Mehta,AU157,BFA (Fine Arts),1st Year,A,Learning Centre 2 - A
Tanya Joshi,AU158,BFA (Fine Arts),1st Year,C,Alliance School of Law - C
Harsh Nair,AU159,B.Tech,2nd Year,B,Learning Centre 1 - B
Kavya Iyer,AU160,BFA (Fine Arts),3rd Year,B,Alliance School of Law - B
Ishita Joshi,AU161,M.Tech,3rd Year,C,Alliance School of Applied Engineering - C
Ishita Das,AU162,BBA,1st Year,A,Alliance School of Law - A
Aditya Gupta,AU163,BA (Liberal Arts),2nd Year,C,Alliance School of Applied Engineering - C
Sanya Naidu,AU164,BA (Liberal Arts),4th Year,B,Learning Centre 2 - B
Amit Das,AU165,BA (Liberal Arts),1st Year,A,Kalataranga - A
Sneha Reddy,AU166,BA (Liberal Arts),2nd Year,C,Alliance School of Law - C
Rohan Nair,AU167,BA (Liberal Arts),1st Year,C,Alliance School of Applied Engineering - C
Raj Mehta,AU168,BFA (Fine Arts),3rd Year,C,Alliance School of Applied Engineering - C
Meera Rana,AU169,MBA,4th Year,C,Kalataranga - C
Rohan Mehta,AU170,BFA (Fine Arts),3rd Year,C,Alliance School of Applied Engineering - C
Harsh Mehta,AU171,LL.M,1st Year,A,Kalataranga - A
Aarav Das,AU172,B.Tech,2nd Year,C,Alliance School of Law - C
Arjun Mishra,AU173,MBA,3rd Year,B,Alliance School of Applied Engineering - B
Ishita Menon,AU174,B.Tech,2nd Year,C,Alliance School of Applied Engineering - C
Amit Pillai,AU175,M.Tech,1st Year,B,Alliance School of Law - B
Amit Gupta,AU176,BA (Liberal Arts),2nd Year,A,Alliance School of Law - A
Priya Naidu,AU177,M.Tech,1st Year,A,Alliance School of Applied Engineering - A
Meera Sharma,AU178,LL.M,2nd Year,B,Alliance School of Applied Engineering - B
Meera Kumar,AU179,MBA,4th Year,B,Learning Centre 1 - B
Meera Pandey,AU180,BA LL.B,1st Year,B,Alliance School of Applied Engineering - B
Varun Kumar,AU181,B.Tech,4th Year,A,Alliance School of Applied Engineering - A
Diya Naidu,AU182,MBA,4th Year,A,Learning Centre 2 - A
Raj Singh,AU183,LL.M,4th Year,B,Kalataranga - B
Tanya Pillai,AU184,B.Tech,3rd Year,A,Kalataranga - A
Aarav Patel,AU185,B.Tech,3rd Year,B,Learning Centre 2 - B
Kavya Gupta,AU186,BA (Liberal Arts),2nd Year,C,Learning Centre 2 - C
Aditya Sharma,AU187,MBA,4th Year,A,Kalataranga - A
Diya Pandey,AU188,BA (Liberal Arts),2nd Year,B,Learning Centre 1 - B
Kavya Iyer,AU189,BBA,4th Year,A,Kalataranga - A
Sanya Naidu,AU190,M.Tech,3rd Year,B,Learning Centre 1 - B
Aditya Pandey,AU191,BA LL.B,1st Year,C,Learning Centre 2 - C
Aarav Mishra,AU192,BA (Liberal Arts),4th Year,C,Alliance School of Law - C
Rohan Kumar,AU193,BFA (Fine Arts),3rd Year,B,Alliance School of Applied Engineering - B
Varun Chowdhury,AU194,BFA (Fine Arts),1st Year,A,Kalataranga - A
Priya Bose,AU195,MBA,4th Year,C,Alliance School of Applied Engineering - C
Rohan Chowdhury,AU196,BFA (Fine Arts),4th Year,B,Kalataranga - B
Arjun Nair,AU197,BA LL.B,2nd Year,B,Kalataranga - B
Ishita Kumar,AU198,B.Tech,1st Year,A,Kalataranga - A
Neha Rana,AU199,B.Tech,3rd Year,C,Learning Centre 2 - C
Sanya Pandey,AU200,LL.M,2nd Year,A,Kalataranga - A
